Executed MPI Program,Number of MPI Processes,Execution Time (ms),Memory Usage (KB)
raft.c,3,12802.19,1424
raft.c,3,12953.72,1424
raft.c,3,16996.52,1428
raft.c,3,6583.92,1424
raft.c,3,12707.57,1428
raft.c,3,19397.76,1408
raft.c,3,14210.64,1420
raft.c,3,12724.78,1404
raft.c,3,24069.01,1424
raft.c,3,4331.07,1428
raft.c,3,12963.17,1424
raft.c,3,15723.47,1428
raft.c,3,10790.67,1424
raft.c,3,7113.74,1424
raft.c,3,19519.97,1424
raft.c,3,7174.03,1424
raft.c,3,9650.07,1404
raft.c,3,15831.60,1428
raft.c,3,23030.70,1424
raft.c,3,7299.18,1404
raft.c,3,14412.30,1408
raft.c,3,16523.94,1424
raft.c,3,26000.79,1424
raft.c,3,19624.24,1404
raft.c,3,13386.77,1424
raft.c,3,13126.76,1424
raft.c,3,12949.41,1424
raft.c,3,16489.50,1424
raft.c,3,12817.47,1424
raft.c,3,6862.72,1416
raft.c,3,12709.45,1428
raft.c,3,19462.59,1424
raft.c,3,19619.75,1428
raft.c,3,6501.87,1428
raft.c,3,10161.40,1412
raft.c,3,16159.76,1424
raft.c,3,17056.82,1428
raft.c,3,12553.25,1428
raft.c,3,36605.35,1424
raft.c,3,6311.08,1412
raft.c,3,15859.01,1412
raft.c,3,6195.64,1428
raft.c,3,6162.83,1408
raft.c,3,13037.72,1428
raft.c,3,12945.81,1420
raft.c,3,13025.47,1428
raft.c,3,6566.12,1424
raft.c,3,16682.96,1424
raft.c,3,14200.02,1428
raft.c,3,19273.03,1428
raft.c,3,6313.29,1428
raft.c,3,17229.10,1428
raft.c,3,19591.92,1424
raft.c,3,16464.39,1428
raft.c,3,10088.83,1424
raft.c,3,10562.24,1428
raft.c,3,6361.58,1424
raft.c,3,3555.35,1408
raft.c,3,6191.85,1428
raft.c,3,9819.50,1424
raft.c,3,19872.69,1424
raft.c,3,22675.43,1428
raft.c,3,19882.00,1412
raft.c,3,16034.42,1424
raft.c,3,3448.82,1428
raft.c,3,16639.83,1424
raft.c,3,9018.53,1428
raft.c,3,16170.01,1428
raft.c,3,16809.22,1428
raft.c,3,6407.31,1424
raft.c,3,9645.69,1412
raft.c,3,10078.19,1428
raft.c,3,12647.85,1428
raft.c,3,33190.63,1428
raft.c,3,26279.36,1428
raft.c,3,6871.51,1412
raft.c,3,9864.60,1424
raft.c,3,23773.92,1420
raft.c,3,14032.91,1424
raft.c,3,6298.17,1428
raft.c,3,20901.21,1416
raft.c,3,6082.02,1428
raft.c,3,36033.25,1428
raft.c,3,9503.22,1428
raft.c,3,6385.90,1416
raft.c,3,16090.14,1416
raft.c,3,28166.76,1424
raft.c,3,39598.43,1428
raft.c,3,12771.94,1428
raft.c,3,16144.59,1428
raft.c,3,3231.23,1428
raft.c,3,5965.93,1428
raft.c,3,16146.65,1428
raft.c,3,9462.99,1428
raft.c,3,35713.90,1416
raft.c,3,7208.42,1416
raft.c,3,9889.10,1420
raft.c,3,25729.50,1428
raft.c,3,13140.93,1428
raft.c,3,26166.97,1428
raft.c,4,18560.64,1428
raft.c,4,11124.71,1428
raft.c,4,31989.70,1416
raft.c,4,28120.51,1428
raft.c,4,10570.71,1428
raft.c,4,17667.79,1424
raft.c,4,7612.57,1428
raft.c,4,28086.84,1428
raft.c,4,18021.09,1424
raft.c,4,7158.86,1424
raft.c,4,28292.99,1428
raft.c,4,18556.11,1420
raft.c,4,17567.82,1420
raft.c,4,14244.26,1428
raft.c,4,10808.32,1404
raft.c,4,11163.78,1424
raft.c,4,18076.68,1408
raft.c,4,13808.22,1428
raft.c,4,17663.36,1424
raft.c,4,13267.09,1428
raft.c,4,22740.42,1428
raft.c,4,17523.21,1416
raft.c,4,18082.84,1428
raft.c,4,17465.04,1424
raft.c,4,22452.76,1424
raft.c,4,20816.83,1416
raft.c,4,14224.38,1424
raft.c,4,14625.93,1428
raft.c,4,24771.57,1428
raft.c,4,29633.65,1424
raft.c,4,25065.36,1428
raft.c,4,31285.54,1424
raft.c,4,4348.92,1412
raft.c,4,18191.40,1424
raft.c,4,13838.87,1428
raft.c,4,24064.28,1412
raft.c,4,21551.45,1412
raft.c,4,28803.70,1428
raft.c,4,20919.32,1408
raft.c,4,34807.77,1428
raft.c,4,7137.02,1408
raft.c,4,14073.82,1424
raft.c,4,28831.81,1420
raft.c,4,14146.35,1428
raft.c,4,17968.88,1428
raft.c,4,31413.52,1424
raft.c,4,11210.56,1428
raft.c,4,52131.12,1424
raft.c,4,69334.60,1424
raft.c,4,13665.00,1424
raft.c,4,37828.44,1428
raft.c,4,21444.12,1428
raft.c,4,14072.35,1428
raft.c,4,14110.31,1428
raft.c,4,32019.64,1404
raft.c,4,14522.43,1428
raft.c,4,20862.84,1420
raft.c,4,14527.45,1424
raft.c,4,14585.23,1412
raft.c,4,13944.01,1428
raft.c,4,8730.08,1420
raft.c,4,17423.99,1428
raft.c,4,31901.13,1428
raft.c,4,34438.17,1424
raft.c,4,7123.73,1420
raft.c,4,31492.49,1428
raft.c,4,30803.57,1424
raft.c,4,10922.62,1428
raft.c,4,21367.59,1424
raft.c,4,21995.78,1424
raft.c,4,34432.26,1424
raft.c,4,46011.78,1424
raft.c,4,28987.70,1428
raft.c,4,8160.28,1424
raft.c,4,17587.58,1428
raft.c,4,13563.30,1428
raft.c,4,14136.48,1428
raft.c,4,15358.24,1424
raft.c,4,31392.28,1424
raft.c,4,24230.84,1424
raft.c,4,17748.48,1420
raft.c,4,17567.13,1424
raft.c,4,27318.31,1424
raft.c,4,35017.44,1428
raft.c,4,28179.81,1428
raft.c,4,14667.85,1408
raft.c,4,38544.67,1428
raft.c,4,13848.38,1416
raft.c,4,22188.35,1428
raft.c,4,17316.21,1416
raft.c,4,10790.62,1408
raft.c,4,10410.07,1428
raft.c,4,13871.28,1424
raft.c,4,20594.54,1424
raft.c,4,10441.72,1424
raft.c,4,17404.34,1424
raft.c,4,17351.97,1428
raft.c,4,11051.74,1412
raft.c,4,52264.98,1428
raft.c,4,14117.48,1428
raft.c,5,126.42,1416
raft.c,5,128.22,1412
raft.c,5,126.41,1424
raft.c,5,128.34,1428
raft.c,5,126.02,1428
raft.c,5,125.75,1428
raft.c,5,130.94,1428
raft.c,5,126.39,1428
raft.c,5,126.96,1428
raft.c,5,130.90,1416
raft.c,5,126.59,1424
raft.c,5,126.12,1412
raft.c,5,126.92,1428
raft.c,5,126.62,1424
raft.c,5,126.66,1428
raft.c,5,126.14,1424
raft.c,5,126.60,1428
raft.c,5,126.46,1428
raft.c,5,126.46,1424
raft.c,5,126.03,1428
raft.c,5,126.90,1424
raft.c,5,125.92,1428
raft.c,5,126.06,1408
raft.c,5,126.22,1424
raft.c,5,126.44,1428
raft.c,5,125.87,1428
raft.c,5,126.20,1412
raft.c,5,126.22,1428
raft.c,5,126.19,1424
raft.c,5,126.53,1424
raft.c,5,126.07,1428
raft.c,5,126.43,1428
raft.c,5,126.49,1424
raft.c,5,126.82,1424
raft.c,5,126.41,1412
raft.c,5,126.97,1424
raft.c,5,125.91,1428
raft.c,5,126.47,1428
raft.c,5,126.40,1424
raft.c,5,125.72,1428
raft.c,5,127.78,1428
raft.c,5,126.42,1416
raft.c,5,126.26,1424
raft.c,5,126.01,1428
raft.c,5,126.43,1412
raft.c,5,127.94,1428
raft.c,5,126.36,1416
raft.c,5,126.54,1404
raft.c,5,126.03,1424
raft.c,5,126.01,1424
raft.c,5,125.78,1424
raft.c,5,126.19,1428
raft.c,5,127.80,1428
raft.c,5,126.14,1424
raft.c,5,126.81,1424
raft.c,5,126.38,1424
raft.c,5,125.71,1424
raft.c,5,126.02,1428
raft.c,5,125.71,1428
raft.c,5,125.86,1428
raft.c,5,127.92,1428
raft.c,5,126.14,1428
raft.c,5,126.90,1428
raft.c,5,126.01,1424
raft.c,5,132.14,1428
raft.c,5,126.28,1424
raft.c,5,126.52,1424
raft.c,5,126.64,1428
raft.c,5,126.64,1424
raft.c,5,126.41,1428
raft.c,5,126.51,1424
raft.c,5,126.78,1424
raft.c,5,126.95,1428
raft.c,5,126.24,1424
raft.c,5,125.95,1424
raft.c,5,125.96,1424
raft.c,5,126.08,1424
raft.c,5,126.00,1428
raft.c,5,126.07,1428
raft.c,5,125.81,1412
raft.c,5,125.73,1404
raft.c,5,126.33,1424
raft.c,5,126.27,1424
raft.c,5,125.80,1428
raft.c,5,125.82,1428
raft.c,5,126.26,1428
raft.c,5,126.17,1424
raft.c,5,126.03,1428
raft.c,5,126.74,1428
raft.c,5,126.20,1408
raft.c,5,125.79,1424
raft.c,5,126.45,1428
raft.c,5,126.70,1412
raft.c,5,125.86,1416
raft.c,5,126.42,1428
raft.c,5,125.85,1428
raft.c,5,126.82,1408
raft.c,5,125.58,1424
raft.c,5,126.09,1416
raft.c,5,126.09,1424
raft.c,6,126.19,1428
raft.c,6,126.50,1428
raft.c,6,126.43,1428
raft.c,6,126.27,1428
raft.c,6,125.93,1428
raft.c,6,128.00,1424
raft.c,6,130.65,1412
raft.c,6,154.63,1424
raft.c,6,126.08,1424
raft.c,6,126.29,1416
raft.c,6,127.09,1420
raft.c,6,126.22,1424
raft.c,6,126.81,1424
raft.c,6,127.42,1428
raft.c,6,125.86,1424
raft.c,6,126.31,1408
raft.c,6,126.16,1424
raft.c,6,126.61,1424
raft.c,6,127.81,1412
raft.c,6,126.05,1424
raft.c,6,125.70,1416
raft.c,6,125.95,1424
raft.c,6,126.94,1408
raft.c,6,126.06,1412
raft.c,6,127.01,1424
raft.c,6,126.67,1424
raft.c,6,126.42,1416
raft.c,6,126.24,1424
raft.c,6,126.08,1428
raft.c,6,126.35,1428
raft.c,6,125.72,1424
raft.c,6,126.09,1428
raft.c,6,125.80,1420
raft.c,6,126.13,1424
raft.c,6,125.98,1428
raft.c,6,126.71,1424
raft.c,6,126.75,1428
raft.c,6,126.35,1408
raft.c,6,125.96,1424
raft.c,6,126.07,1428
raft.c,6,126.33,1424
raft.c,6,126.24,1412
raft.c,6,126.30,1424
raft.c,6,126.47,1420
raft.c,6,125.66,1408
raft.c,6,126.86,1428
raft.c,6,126.08,1424
raft.c,6,125.74,1424
raft.c,6,125.93,1412
raft.c,6,126.23,1428
raft.c,6,126.43,1428
raft.c,6,126.86,1412
raft.c,6,125.97,1424
raft.c,6,125.69,1412
raft.c,6,126.15,1428
raft.c,6,126.65,1428
raft.c,6,125.53,1424
raft.c,6,125.68,1424
raft.c,6,125.87,1412
raft.c,6,125.76,1408
raft.c,6,125.64,1416
raft.c,6,127.74,1428
raft.c,6,127.01,1424
raft.c,6,126.70,1428
raft.c,6,127.42,1412
